"Freq [GHz]","dB(St(1,1)) []"
2,-0.0843699609329873
2.02,-0.0836900015619277
2.04,-0.0831070799160043
2.06,-0.0826283626088037
2.08,-0.0822606805107258
2.1,-0.08201060635677
2.12,-0.0818845301805239
2.14,-0.0818887313341832
2.16,-0.0820294457503654
2.18,-0.0823129271153558
2.2,-0.0827455002702526
2.22,-0.0833336048578303
2.24,-0.0840838266155908
2.26,-0.0850029129910822
2.28,-0.0860977686161401
2.3,-0.0873754252016581
2.32,-0.0888429778081544
2.34,-0.0905074791004341
2.36,-0.0923757787707061
2.38,-0.094454293457333
2.4,-0.0967486893667031
2.42,-0.0992634538806229
2.44,-0.102001324432665
2.46,-0.104962488654629
2.48,-0.108142749513094
2.5,-0.111542958683766
2.52,-0.115137550910167
2.54,-0.118913207429173
2.56,-0.122840871252706
2.58,-0.126882191790447
2.6,-0.130988153309827
2.62,-0.135098863713792
2.64,-0.139144695955295
2.66,-0.143049356357954
2.68,-0.146735450253413
2.7,-0.150132893910861
2.72,-0.153190034700175
2.74,-0.155886611065234
2.76,-0.158246871336523
2.78,-0.160350569074825
2.8,-0.162338945189311
2.82,-0.164406572816626
2.84,-0.166768116273321
2.86,-0.169726003646597
2.88,-0.17363957193347
2.9,-0.178833607883151
2.92,-0.185640004148089
2.94,-0.194400092515083
2.96,-0.205465717171879
2.98,-0.219207798881357
3,-0.236030107605009
3.02,-0.256386722426728
3.04,-0.280802416183107
3.06,-0.309895779714845
3.08,-0.344405368730192
3.1,-0.385219512896308
3.12,-0.433410669301209
3.14,-0.490275335309033
3.16,-0.557380553052151
3.18,-0.636617916262428
3.2,-0.730265679349661
3.22,-0.841058994888766
3.24,-0.972267378513662
3.26,-1.12777714542596
3.28,-1.31217476899367
3.3,-1.53082504848645
3.32,-1.78993611813957
3.34,-2.09660265164192
3.36,-2.45882064819863
3.38,-2.88547387644935
3.4,-3.38630522484193
3.42,-3.97190672627616
3.44,-4.65378904172217
3.46,-5.44462185590153
3.48,-6.35876611266879
3.5,-7.413238695359
3.52,-8.62923565762892
3.54,-10.0341933592501
3.56,-11.6636652723898
3.58,-13.5592003266097
3.6,-15.7449554703043
3.62,-18.1122009515995
3.64,-20.0410743321027
3.66,-20.2680658177632
3.68,-18.7531500726233
3.7,-16.7527701230981
3.72,-14.9084535922351
3.74,-13.3326407887018
3.76,-11.9975125132062
3.78,-10.8567341876462
3.8,-9.87061310420267
3.82,-9.00877972975025
3.84,-8.24853875498192
3.86,-7.57287463272247
3.88,-6.96885718429753
3.9,-6.42648086731432
3.92,-5.9378426979446
3.94,-5.49656434888274
3.96,-5.09738635899566
3.98,-4.73588302724285
4,-4.40826186848825
4.02,-4.11122227205793
4.04,-3.84185551891422
4.06,-3.59757358533969
4.08,-3.37605787603191
4.1,-3.17522165416779
4.12,-2.99318179947542
4.14,-2.82823686011409
4.16,-2.67884932613909
4.18,-2.54363074284179
4.2,-2.42132877156842
4.22,-2.31081564109502
4.24,-2.21107765616935
4.26,-2.12120557119293
4.28,-2.04038572309479
4.3,-1.96789186574059
4.32,-1.90307767368419
4.34,-1.84536989392323
4.36,-1.79426212825348
4.38,-1.74930922807998
4.4,-1.71012228211243
4.42,-1.67636417563212
4.44,-1.64774569897626
4.46,-1.62402218287019
4.48,-1.60499063937407
4.5,-1.59048738913942
4.52,-1.58038615898992
4.54,-1.57459663713587
4.56,-1.57306347817151
4.58,-1.57576575446632
4.6,-1.58271685487233
4.62,-1.59396483627912
4.64,-1.60959323301012
4.66,-1.62972232657877
4.68,-1.65451086305871
4.7,-1.68415818014808
4.72,-1.7189066889705
4.74,-1.75904476199184
4.76,-1.80491065479038
4.78,-1.85689952794296
4.8,-1.91547633820509
4.82,-1.98119164446106
4.84,-2.05468848130158
4.86,-2.13669907293114
4.88,-2.22804858382054
4.9,-2.32967231494263
4.92,-2.44263761590451
4.94,-2.56816526996561
4.96,-2.70765115456323
4.98,-2.86269002208656
5,-3.03510254024856
5.02,-3.22696626400796
5.04,-3.44065112910433
5.06,-3.67886019709987
5.08,-3.94467668433746
5.1,-4.24161881244058
5.12,-4.57370484084718
5.14,-4.94553197145872
5.16,-5.3623749598951
5.18,-5.83031370765957
5.2,-6.35640463432668
5.22,-6.9489195672584
5.24,-7.61769059124321
5.26,-8.37462415423696
5.28,-9.23449136523036
5.3,-10.2161818451399
5.32,-11.3447655561831
5.34,-12.6550351549569
5.36,-14.1979427545608
5.38,-16.0531820994654
5.4,-18.3562448875758
5.42,-21.3640471165511
5.44,-25.6316071432614
5.46,-32.0697999719928
5.48,-31.9536756335967
5.5,-26.157638054951
5.52,-22.5193453223454
5.54,-20.0899761516391
5.56,-18.3379921768225
5.58,-17.0149231563049
5.6,-15.9882433846741
5.62,-15.1790863236588
5.64,-14.5362237006094
5.66,-14.0236985369132
5.68,-13.6142118540598
5.7,-13.2851134526789
5.72,-13.0157414815443
5.74,-12.7862343786047
5.76,-12.5809302114245
5.78,-12.4112590311482
5.8,-12.4227849034191
5.82,-13.286854612258
5.84,-16.635481774921
5.86,-23.4243847201932
5.88,-32.4553739255851
5.9,-32.2663432415809
5.92,-29.1762468299462
5.94,-27.2524739135396
5.96,-25.6279453312358
5.98,-24.0006462195794
6,-22.374173333925
6.02,-20.8213573893156
6.04,-19.39297916895
6.06,-18.1085513315053
6.08,-16.9682821099357
6.1,-15.9634792383169
6.12,-15.0823577472517
