"Freq [GHz]","dB(St(1,1)) []"
2,-0.0861066525179788
2.02,-0.0855061255243108
2.04,-0.0850079343002239
2.06,-0.0846198862798144
2.08,-0.0843495068246952
2.1,-0.0842041219342299
2.12,-0.0841909392702883
2.14,-0.0843171261105982
2.16,-0.084589882656437
2.18,-0.0850165092782603
2.2,-0.0856044653924295
2.22,-0.0863614179527978
2.24,-0.0872952758742267
2.26,-0.0884142068739144
2.28,-0.0897266313389897
2.3,-0.0912411872189225
2.32,-0.09296665919666
2.34,-0.0949118664347986
2.36,-0.0970855102406111
2.38,-0.0994960075423438
2.4,-0.102151426749062
2.42,-0.105060010035509
2.44,-0.108233674551198
2.46,-0.111711975801153
2.48,-0.115915898004803
2.5,-0.12106094155427
2.52,-0.123349466108089
2.54,-0.127523605082764
2.56,-0.131936941734454
2.58,-0.136467761623654
2.6,-0.141038978161438
2.62,-0.145568031197756
2.64,-0.14996230877568
2.66,-0.154122121268807
2.68,-0.157947748679508
2.7,-0.161349983860999
2.72,-0.164263415290143
2.74,-0.166660878074199
2.76,-0.168566670233283
2.78,-0.170065756037131
2.8,-0.171306633621368
2.82,-0.17249689671287
2.84,-0.173892393823584
2.86,-0.175782590768161
2.88,-0.178475619966949
2.9,-0.182286291261697
2.92,-0.187529282767754
2.94,-0.194518363992168
2.96,-0.203571350089748
2.98,-0.215019831333886
3,-0.229222584775322
3.02,-0.246581807601237
3.04,-0.267561725008044
3.06,-0.292709570596648
3.08,-0.322679331012469
3.1,-0.358258958883936
3.12,-0.400401989601008
3.14,-0.450264655674546
3.16,-0.509249677362812
3.18,-0.579057902071615
3.2,-0.661748827180293
3.22,-0.759810705274968
3.24,-0.876240308695496
3.26,-1.01463142442443
3.28,-1.17926969001221
3.3,-1.37522949430035
3.32,-1.60846660972645
3.34,-1.88589867808993
3.36,-2.21546598524232
3.38,-2.60616933467618
3.4,-3.06809328435937
3.42,-3.61244497959224
3.44,-4.2516745392229
3.46,-4.99979562975252
3.48,-5.87310077103369
3.5,-6.89158468545042
3.52,-8.08160959447703
3.54,-9.48083342896751
3.56,-11.1476433609987
3.58,-13.1807756716311
3.6,-15.7660906720841
3.62,-19.3143795497489
3.64,-25.0440637236556
3.66,-38.6501383132099
3.68,-26.8072257447036
3.7,-20.7701405064642
3.72,-17.336580855802
3.74,-14.9640233866147
3.76,-13.1664996223811
3.78,-11.7292522715454
3.8,-10.5389065458509
3.82,-9.52865241099693
3.84,-8.65605118597504
3.86,-7.89261083406159
3.88,-7.21834437006463
3.9,-6.61869922790748
3.92,-6.08272060122496
3.94,-5.6019043089696
3.96,-5.16945737656913
3.98,-4.77981057471068
4,-4.42829187477997
4.02,-4.11090505396264
4.04,-3.82417798831953
4.06,-3.56505745729186
4.08,-3.33083504517062
4.1,-3.1190938013052
4.12,-2.92766872163793
4.14,-2.75461642224787
4.16,-2.59819094837882
4.18,-2.45682372929203
4.2,-2.32910640577204
4.22,-2.21377573047031
4.24,-2.10970004746973
4.26,-2.01586705060729
4.28,-1.9313726378241
4.3,-1.85541074743723
4.32,-1.78726410057566
4.34,-1.72629579339642
4.36,-1.67194169177681
4.38,-1.62370358458355
4.4,-1.58114305261036
4.42,-1.54387601071317
4.44,-1.51156788121304
4.46,-1.48392935788903
4.48,-1.46071272230192
4.5,-1.4417086769653
4.52,-1.42674366382977
4.54,-1.4156776409988
4.56,-1.40840229563983
4.58,-1.40483967658865
4.6,-1.40494123611683
4.62,-1.40868727650814
4.64,-1.4160868021775
4.66,-1.42717778081383
4.68,-1.44202780935492
4.7,-1.46073514522189
4.72,-1.48342995374526
4.74,-1.51027535072955
4.76,-1.54146735582874
4.78,-1.57723304106916
4.8,-1.61783063990597
4.82,-1.66356563170983
4.84,-1.71482480686598
4.86,-1.77208483450662
4.88,-1.83588504841834
4.9,-1.90681862466421
4.92,-1.98555043413541
4.94,-2.07283750187083
4.96,-2.16954507114979
4.98,-2.27666111874236
5,-2.39531174384722
5.02,-2.52677838307459
5.04,-2.67251715492296
5.06,-2.83418043756445
5.08,-3.01364072607462
5.1,-3.2130167913937
5.12,-3.43470215282876
5.14,-3.68139589096145
5.16,-3.95613589884641
5.18,-4.26233484635823
5.2,-4.60381948706146
5.22,-4.98487456978385
5.24,-5.41029366028092
5.26,-5.88544079856421
5.28,-6.41632931343105
5.3,-7.00972751000314
5.32,-7.67330556345243
5.34,-8.41584394612124
5.36,-9.24753092728286
5.38,-10.1803838380303
5.4,-11.2288308469974
5.42,-12.4104695211441
5.44,-13.7469170904558
5.46,-15.2642883690602
5.48,-16.9915032796198
5.5,-18.9499893229078
5.52,-21.1130237646491
5.54,-23.276313521078
5.56,-24.8260042043226
5.58,-25.0061736429522
5.6,-24.0227404022149
5.62,-22.6931144934919
5.64,-21.4715899526
5.66,-20.4796776098215
5.68,-19.7217775335025
5.7,-19.1749680782909
